LinkId,Geometry
10547,"LINESTRING(356010.98714 6689368.86741,356031.70303 6689376.84105,356057.93662 6689386.10999,356069.05566 6689390.67607,356090.34538 6689401.24262,356097.40421 6689405.07482,356105.73139 6689409.86866,356119.57992 6689420.23003)"
10602,"LINESTRING(356081.89321 6689478.57862,356080.30976 6689480.96190)"
10603,"LINESTRING(356080.30976 6689480.96190,356078.50207 6689484.71550,356076.05972 6689488.50570,356072.16272 6689493.62588,356060.83783 6689507.05164,356051.13651 6689525.10134,356049.29149 6689528.60121,356043.25155 6689532.71008)"
107516,"LINESTRING(354985.10065 6690041.24383,354993.69768 6690034.31560,354999.46680 6690029.47578,355044.34071 6689996.16095)"
107517,"LINESTRING(355038.17882 6689815.13554,355031.35191 6689820.82643,355028.97254 6689822.67748,355018.76142 6689831.45693,355008.62821 6689841.84522)"
107876,"LINESTRING(355497.89755 6689576.63731,355509.02173 6689580.50111,355511.20810 6689580.68640,355535.97652 6689583.35075,355539.93740 6689584.33483,355554.53668 6689590.87978)"
107877,"LINESTRING(355554.53668 6689590.87978,355570.56047 6689597.01986,355577.61114 6689598.73793,355586.91101 6689603.83095)"
107878,"LINESTRING(355586.91101 6689603.83095,355587.32906 6689610.41582,355587.32210 6689614.36605,355587.91148 6689659.50472,355587.99251 6689662.61540,355588.11899 6689667.16987)"
107879,"LINESTRING(355588.11899 6689667.16987,355587.99251 6689662.61540,355587.91148 6689659.50472,355587.32210 6689614.36605,355587.32906 6689610.41582,355586.91101 6689603.83095)"
10805,"LINESTRING(355238.45044 6689087.48061,355241.80235 6689081.72379,355242.92559 6689079.64503)"
10806,"LINESTRING(355242.92559 6689079.64503,355241.80235 6689081.72379,355238.45044 6689087.48061)"
108379,"LINESTRING(354783.15001 6689133.36661,354778.36328 6689131.35154,354732.12516 6689111.45172,354730.66418 6689110.83530)"
108391,"LINESTRING(354730.66418 6689110.83530,354730.19864 6689111.83023,354729.56230 6689113.28010,354719.62350 6689135.95217)"
109470,"LINESTRING(354816.43033 6689329.36760,354801.93064 6689338.98520,354746.98967 6689376.44454,354746.38129 6689376.93592,354746.12354 6689377.32913,354745.95305 6689378.05109,354745.74728 6689379.34252,354745.37260 6689381.64511,354744.95415 6689384.23951)"
